ID,Rock,Origin,Transplant,Length,SA,Protein,Volume,CaCO3,Lipids,BW,Pct SA,Pct Protein,Pct Volume,Pct Lipids,Pct BW,PARQ3,TempQ3
FS48,SR1,Flat,Deep,-1,4.445103173,3.749837928,0.445666278,2.154321053,-1.5,1.397,19.12563258,8.681041822,11.41007906,26.99203187,75.35059331,321,25.7
FS49,SR5,Flat,Deep,-0.1,7.361436604,16.54930672,0.656458805,2.302363158,1.833333333,1.493,31.67353519,38.31238216,16.80685131,85.55776892,69.79897148,321,25.7
FS50,SR1,Flat,Deep,-0.8,4.42255562,-7.943389163,0.769073991,1.235226316,-1.166666667,0.801,19.02861881,-18.38929971,19.6900584,-10.35856574,27.41273101,321,25.7
SF01,FR1,Slope,Shallow,-4.5,37.09513325,67.85057657,5.335309582,6.282536842,7.906666667,4.074,153.2310134,143.8952892,91.65311143,212.5615764,206.8020305,922,27.4
SF02,FR5,Slope,Shallow,1.7,12.79347105,33.80343182,2.969401465,3.755026316,-0.426666667,2.435,52.84673116,71.68921536,42.58662853,41.87192118,104.2826552,922,27.4
SF03,FR3,Slope,Shallow,3,24.18990366,61.57766821,5.60960193,5.736631579,1.573333333,3.72,99.92263479,130.5919097,97.34165051,80.591133,105.8020478,922,27.4
SF04,FR3,Slope,Shallow,1.4,25.19932028,71.28550353,6.657234306,6.086689474,1.906666667,3.947,104.0922904,151.1799702,119.0684605,91.5270936,122.9212083,922,27.4
SF05,FR2,Slope,Shallow,2,22.21880828,29.2084783,4.907483084,4.561547368,5.24,2.958,91.78051705,61.94438784,82.78043315,173.3990148,87.33392383,922,27.4
SF06,FR4,Slope,Shallow,0,14.72663753,6.034507517,2.413541384,3.829047368,3.24,2.483,60.83217378,12.79778666,31.0586664,129.0640394,108.760403,922,27.4
SF07,FR1,Slope,Shallow,0.7,13.20321378,13.49216257,4.809410535,3.924657895,3.573333333,2.545,54.53927918,286.137382,80.7465101,131.7241379,97.17449408,922,27.4
SF08,FR4,Slope,Shallow,1.8,29.364329,55.4023694,4.721450536,5.796773684,4.24,3.759,121.296933,117.4955375,78.92231086,146.2068966,142.5483504,922,27.4
SF09,FR2,Slope,Shallow,3,8.40289328,26.53649955,5.382057286,5.648731579,2.906666667,3.663,34.7103175,56.27774248,92.62261036,112.8078818,113.6166253,922,27.4
SF10,FR3,Slope,Shallow,1.8,26.31701228,68.09825254,6.573872529,6.364268421,4.24,4.127,108.7092055,144.4205523,117.3396236,141.182266,115.054363,922,27.4
SF11,FR2,Slope,Shallow,1,20.23180028,46.60555665,5.110045243,5.836868421,4.906666667,3.785,83.57266813,98.83954403,86.98136245,166.0098522,137.8870674,922,27.4
SF12,FR2,Slope,Shallow,0.7,25.44769628,46.81272797,5.665644308,5.5963,5.24,3.629,105.1182715,99.2789062,98.50391137,167.9310345,107.5577949,922,27.4
SF13,FR4,Slope,Shallow,1.2,28.58973017,59.62016489,6.240971195,5.846121053,4.906666667,3.791,118.0972528,126.4405006,110.4355949,166.0098522,112.827381,922,27.4
SF14,FR2,Slope,Shallow,0.5,21.25635128,31.46611442,3.865734837,4.620147368,2.24,2.996,87.80484023,66.73230888,61.17565392,106.8965517,110.0257069,922,27.4
SF15,FR2,Slope,Shallow,2,19.41707052,42.79147963,3.796208683,4.510657895,-0.76,2.925,80.20721674,90.75077391,59.73375353,50.73891626,115.5669696,922,27.4
SF16,FR1,Slope,Shallow,1.7,25.20531808,41.28151947,3.344200027,4.609352632,2.573333333,2.989,104.1170659,87.54849967,50.35956235,110,106.1811723,922,27.4
SF17,FR2,Slope,Shallow,3.7,12.19062728,35.20582226,2.476737175,6.957978947,2.573333333,4.512,50.35652951,74.66335924,32.36928162,118.5714286,251.5050167,922,27.4
SF18,FR5,Slope,Shallow,2.6,23.0613316,68.51790725,5.779487571,5.6256,,3.648,95.26077688,145.3105423,100.8649027,NA,116.2523901,922,27.4
SF19,FR2,Slope,Shallow,2,24.01699137,48.59227644,5.441160413,5.580878947,3.24,3.619,99.20837599,103.0529145,93.84834798,80.88669951,111.6286243,922,27.4
SF20,FR1,Slope,Shallow,1.3,14.76025625,27.5524358,4.618087116,4.752768421,0.906666667,3.082,60.97104458,58.43230695,76.77866062,20.591133,96.0423808,922,27.4
SF21,FR4,Slope,Shallow,2.8,27.91481376,80.66930167,3.875424732,5.187642105,3.906666667,3.364,115.3093365,171.0808231,61.3766123,143.8423645,157.7861163,922,27.4
SF22,FR5,Slope,Shallow,1.2,33.17060356,88.32932823,7.291129532,6.686568421,2.573333333,4.336,137.0197315,187.3259575,132.2147907,110,125.9732714,922,27.4
SF23,FR5,Slope,Shallow,3,44.30437555,88.75163899,9.168049294,7.499257895,2.24,4.863,183.0106477,188.2215804,171.1401617,98.62068966,122.1859296,922,27.4
SF24,FR1,Slope,Shallow,1.3,26.8844391,51.23769477,5.236282888,5.671863158,4.906666667,3.678,111.0531082,108.6632314,89.59940039,160.6896552,116.7989838,922,27.4
SF25,FR5,Slope,Shallow,2.5,24.29260077,56.05309981,-4.958900112,,-1.093333333,3.7,100.3468517,118.8755853,-121.8381313,-13.10344828,149.7369486,922,27.4
SF26,FR5,Slope,Shallow,1.1,8.331280229,10.21777445,2.494301018,3.503663158,7.906666667,2.272,34.41450133,21.66952269,32.73353753,-0.689655172,83.46803821,922,27.4
SF27,FR4,Slope,Shallow,1.1,33.69028735,77.39705732,5.12283483,5.784436842,-2.593333333,3.751,139.1664194,164.1411541,87.24660522,-34.82758621,144.6586965,922,27.4
SF28,FR4,Slope,Shallow,0.5,17.31819703,38.43822598,4.520025945,4.743515789,3.573333333,3.076,71.53727857,81.51853559,74.74497356,103.2019704,80.14590933,922,27.4
SF29,FR2,Slope,Shallow,2,24.14372228,20.57634019,5.970452129,6.082063158,-0.093333333,3.944,99.73187069,43.63763096,104.8253097,44.08866995,124.1032096,922,27.4
SF30,FR1,Slope,Shallow,1.7,14.88744393,29.82866422,4.838607344,4.214573684,2.406666667,2.733,61.49642609,63.25965792,81.35202167,37.5862069,76.89926843,922,27.4
SF31,FR3,Slope,Shallow,2,20.15955655,39.43424191,3.766579921,5.048852632,,3.274,83.27424677,83.63085369,59.1192837,195.5665025,147.0799641,922,27.4
SF32,FR1,Slope,Shallow,1.6,13.27136111,18.79679171,4.310431366,4.890015789,0.906666667,3.171,54.82077929,39.86362261,70.39819915,22.95566502,101.212895,922,27.4
SF33,FR5,Slope,Shallow,2.5,18.91441788,35.05177179,3.871060498,4.680289474,5.406666667,3.035,78.13088043,74.33665404,61.28610261,84.72906404,132.3016565,922,27.4
SF34,FR3,Slope,Shallow,0.6,14.86685224,-47.15274348,4.012776348,3.406510526,6.24,2.209,61.41136682,-100,64.2251425,99.50738916,51.64835165,922,27.4
SF35,FR3,Slope,Shallow,2.1,17.99641628,36.77819942,3.745162124,4.960952632,0.24,3.217,74.33883809,77.99800542,58.67510077,18.22660099,135.2817494,922,27.4
SF36,FR1,Slope,Shallow,1.2,18.36340774,34.91896967,2.838490888,4.054194737,0.906666667,2.629,75.85479094,74.05501163,39.8716788,40.39408867,126.6987952,922,27.4
SF37,FR3,Slope,Shallow,2.1,34.06514342,73.07036409,5.699116565,5.833784211,6.24,3.783,140.7148591,154.9652442,99.19809129,171.9211823,126.2683578,922,27.4
SF38,FR4,Slope,Shallow,1.6,54.63375007,110.5524358,7.639843432,8.136147368,8.906666667,5.276,225.6787928,234.455999,139.4467556,240.4926108,200.0758438,922,27.4
SF39,FR1,Slope,Shallow,2,37.58626308,88.70383023,6.230395529,5.958694737,4.906666667,3.864,155.2597518,188.1201892,110.2162665,166.0098522,114.0495868,922,27.4
SF40,FR3,Slope,Shallow,2,7.40938928,71.68922199,2.249095891,6.846947368,4.906666667,4.44,30.60639304,152.0361631,27.64823727,150.0492611,221.7782218,922,27.4
SF41,FR1,Slope,Shallow,1.5,29.19868284,93.92560977,5.272817008,5.439005263,6.573333333,3.527,120.6126888,199.1943689,90.35708019,196.8965517,106.0432952,922,27.4
SF42,FR4,Slope,Shallow,3,21.02563185,28.83132027,5.143986163,5.912431579,0.906666667,3.834,86.85179413,61.14452339,87.68526195,-24.80788177,136.1989343,922,27.4
SF43,FR3,Slope,Shallow,1.7,19.52675635,62.01060313,5.406509587,4.632484211,-0.093333333,3.004,80.66030237,131.510064,93.12972574,55.17241379,58.46632931,922,27.4
SF44,FR4,Slope,Shallow,1.9,25.74853195,64.73570274,5.409397155,6.250152632,1.906666667,4.053,106.3609509,137.2893663,93.18961093,35.66502463,93.17241379,922,27.4
SF45,FR1,Slope,Shallow,1.5,15.66409732,-43.73919766,4.762300748,4.231536842,-2.593333333,2.744,64.70459318,-92.7606634,79.76950194,-32.16748768,66.87789422,922,27.4
SF46,FR1,Slope,Shallow,1,19.46247347,33.72375054,6.46306019,5.764389474,2.24,3.738,80.39476534,71.52022991,115.0414905,106.8965517,82.31667034,922,27.4
SF47,FR3,Slope,Shallow,2,23.13890306,18.44088202,5.341058026,5.694994737,-0.093333333,3.693,95.5812058,39.10882095,91.77232819,52.06896552,110.9009009,922,27.4
SF48,FR3,Slope,Shallow,1.6,16.59930128,41.97873062,4.571808649,4.6294,5.906666667,3.002,68.56769431,89.02712234,75.81889318,170.8866995,92.34081821,922,27.4
SF49,FR5,Slope,Shallow,2,14.22112988,9.022555325,4.370834887,5.785978947,-0.76,3.752,58.74404408,19.13474097,71.6509056,40.39408867,166.1647476,922,27.4
SF50,FR5,Slope,Shallow,2.4,19.84755736,39.03583554,3.879713316,4.515284211,1.906666667,2.928,81.98545366,82.78592645,61.46555309,33.00492611,82.17793994,922,27.4
SS01,SR1,Slope,Deep,1.1,7.042305798,-6.987404834,1.624046943,2.356336842,3.906666667,1.528,29.09006006,-14.81866021,14.68536973,129.2118227,53.74604291,321,25.7
SS02,SR5,Slope,Deep,2.5,22.73708555,77.54845174,5.032588289,5.206147368,,3.376,93.92139496,164.4622264,85.37498547,NA,105.4011864,321,25.7
SS04,SR2,Slope,Deep,1.9,14.80484653,31.34659251,4.127136481,3.548384211,3.573333333,2.301,61.15523625,66.4788307,66.59685316,117.5369458,60.88912411,321,25.7
SS05,SR1,Slope,Deep,-2.7,3.141429622,-13.5099812,1.700248898,2.174368421,3.573333333,1.41,12.97648512,-28.65152735,16.26571933,122.2660099,50.21367521,321,25.7
SS06,SR3,Slope,Deep,-0.1,5.592518023,12.47541057,1.96068596,2.471994737,3.573333333,1.603,23.10133781,26.45744373,21.66691413,136.453202,56.24561404,321,25.7
SS07,SR3,Slope,Deep,0.8,3.258847531,30.33729636,2.299569631,4.063447368,3.906666667,2.635,13.46151007,64.33834836,28.69501033,143.8423645,79.36746988,321,25.7
SS09,SR3,Slope,Deep,2.5,9.068439175,18.38510513,2.216023382,3.272347368,2.573333333,2.122,37.45952644,38.99053113,26.9623477,114.2857143,77.8429934,321,25.7
SS10,SR2,Slope,Deep,0.9,1.519869124,-11.62817509,2.299485489,2.157405263,1.906666667,1.399,6.278211339,-24.66065435,28.69326531,99.50738916,45.2457956,321,25.7
SS12,SR1,Slope,Deep,2.6,20.10346208,6.975012165,3.97427543,5.274,2.906666667,3.42,83.04253411,14.79237824,63.42667335,44.82758621,179.3392764,321,25.7
SS14,SR1,Slope,Deep,4.2,25.40843205,-0.65712595,4.43143942,5.030347368,-3.093333333,3.262,104.9560805,-1.393611275,72.90778082,-43.25123153,105.1579626,321,25.7
SS15,SR4,Slope,Deep,-0.2,-2.554181136,9.981386667,3.692967408,2.030952632,-1.093333333,1.317,-10.55070382,21.1681992,57.59263644,30.34482759,22.24662162,321,25.7
SS17,SR3,Slope,Deep,2.9,13.9485213,32.79413567,2.903599405,4.216115789,-1.426666667,2.734,57.61796406,69.54873301,41.22196197,25.61576355,122.821204,321,25.7
SS19,SR4,Slope,Deep,3,11.99213616,-1.0040051,3.528755816,4.0434,6.24,2.622,49.53661074,-2.129261259,54.18705818,195.5665025,107.9456566,321,25.7
SS22,SR2,Slope,Deep,2.3,9.223731127,21.90436143,2.725599256,3.483615789,8.24,2.259,38.1009999,46.45405509,37.53042332,239.9014778,83.48115299,321,25.7
SS23,SR4,Slope,Deep,0.5,-7.944802499,-10.69856021,2.424408853,1.432615789,2.906666667,0.929,-32.81805541,-22.68915746,31.28404644,121.6748768,17.50848096,321,25.7
SS25,SR4,Slope,Deep,2.2,27.21049912,108.2788634,7.96288197,7.761415789,4.573333333,5.033,112.3999832,229.6342809,146.1462402,307.1428571,117.4836601,321,25.7
SS26,SR5,Slope,Deep,3,16.79123369,68.18590194,4.247709195,4.726552632,4.906666667,3.065,69.3605206,144.6064362,69.09740631,139.408867,113.6026686,321,25.7
SS30,SR2,Slope,Deep,0.4,7.931934491,18.45150619,1.486111759,2.669384211,5.573333333,1.731,32.76490078,39.13135234,11.82473693,180.7881773,70.71078431,321,25.7
SS34,SR5,Slope,Deep,1.6,9.440995524,26.68523793,1.351070319,1.631547368,1.24,1.058,38.99846651,56.59318199,9.024117399,84.72906404,37.35875706,321,25.7
SS35,SR4,Slope,Deep,-2,-4.803417365,-9.702544276,0.386859133,1.216721053,-6.093333333,0.789,-19.84175406,-20.57683935,-10.97262354,-114.7783251,40.09146341,321,25.7
SS36,SR4,Slope,Deep,3.1,19.84699286,26.89772133,4.272989639,4.865342105,5.573333333,3.155,81.98312185,57.04380985,69.62169652,180.7881773,123.0979321,321,25.7
SS37,SR4,Slope,Deep,2.4,15.48460425,73.18722996,3.366464827,3.947789474,2.906666667,2.56,63.9631508,155.2130895,50.82131123,108.3743842,82.87471674,321,25.7
SS38,SR1,Slope,Deep,3.1,11.03751639,69.45814629,2.791244105,3.933910526,3.906666667,2.551,45.59330763,147.3045706,38.89182947,138.9655172,114.0366562,321,25.7
SS39,SR4,Slope,Deep,-0.4,9.180699811,20.39307325,4.671926872,4.493694737,-1.76,2.914,37.92324795,43.24896443,77.89524138,15.86206897,84.83260553,321,25.7
SS40,SR3,Slope,Deep,0.3,8.950932132,15.69984616,2.53004204,3.350994737,1.906666667,2.173,36.9741333,33.29572153,33.4747693,103.4975369,85.58487594,321,25.7
SS41,SR4,Slope,Deep,1.3,16.20345051,23.97394975,5.447438626,5.459052632,5.906666667,3.54,66.93253061,50.84317047,93.97855162,158.9162562,89.55223881,321,25.7
SS43,SR4,Slope,Deep,1.2,9.0748444,23.76359118,3.187894176,3.275431579,0.573333333,2.124,37.48598488,50.39704888,47.11794095,55.17241379,57.05076551,321,25.7
SS44,SR2,Slope,Deep,3.2,22.21101483,77.01724324,5.325146965,6.003415789,3.906666667,3.893,91.74832421,163.3356568,91.44234927,143.8423645,147.7980258,321,25.7
SS46,SR1,Slope,Deep,2.8,16.3698325,62.94021801,4.278751449,4.720384211,3.24,3.061,67.61981434,133.4815609,69.7411905,121.6748768,106.0270177,321,25.7
SS47,SR2,Slope,Deep,3.3,16.68072425,63.47142651,2.139133577,4.382663158,5.573333333,2.842,68.90403287,134.6081306,25.3677328,175.1724138,102.5622519,321,25.7
SS49,SR1,Slope,Deep,-0.5,6.371738671,21.56438799,1.859612499,1.774963158,5.24,1.151,26.32010963,45.73305052,19.57075527,162.4630542,33.44957861,321,25.7
SS50,SR4,Slope,Deep,3.5,18.17200684,32.9521702,3.247387416,4.391915789,0.906666667,2.848,75.06416018,69.88388748,48.3517691,73.79310345,112.9710432,321,25.7